rank,file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
105,NB_FP_0083.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0083.pdb,True,0,-9.4,1.3e-07,55,3.0,6.0,13.0,4.0,14.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0083_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 42.53
[+] Percentage of charged NIS residues: 18.85
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.3e-07
",
106,NB_FP_0094.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0094.pdb,True,0,-9.4,1.4e-07,51,0.0,6.0,7.0,5.0,19.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0094_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.15
[+] Percentage of charged NIS residues: 18.49
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
107,NB_FP_0074.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0074.pdb,True,0,-9.4,1.4e-07,53,1.0,4.0,3.0,11.0,25.0,9.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0074_model0
[+] No. of intermolecular contacts: 53
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 11.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 9.0
[+] Percentage of apolar NIS residues: 42.43
[+] Percentage of charged NIS residues: 18.58
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
108,NB_FP_0209.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0209.pdb,True,0,-9.4,1.2e-07,51,1.0,2.0,5.0,2.0,17.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0209_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 42.89
[+] Percentage of charged NIS residues: 18.65
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
109,NB_FP_0214.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0214.pdb,True,0,-9.4,1.2e-07,56,0.0,5.0,7.0,2.0,17.0,25.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0214_model0
[+] No. of intermolecular contacts: 56
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 25.0
[+] Percentage of apolar NIS residues: 43.12
[+] Percentage of charged NIS residues: 18.88
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
110,NB_FP_0072.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0072.pdb,True,0,-9.4,1.2e-07,51,1.0,13.0,3.0,2.0,18.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0072_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 13.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 42.53
[+] Percentage of charged NIS residues: 19.08
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
111,NB_FP_0075.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0075.pdb,True,0,-9.4,1.2e-07,56,4.0,5.0,16.0,6.0,15.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0075_model0
[+] No. of intermolecular contacts: 56
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 16.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 42.92
[+] Percentage of charged NIS residues: 19.58
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
112,NB_FP_0179.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0179.pdb,True,0,-9.4,1.2e-07,55,3.0,6.0,13.0,2.0,13.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0179_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 42.89
[+] Percentage of charged NIS residues: 19.11
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
113,NB_FP_0135.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0135.pdb,True,0,-9.4,1.4e-07,53,1.0,6.0,12.0,3.0,15.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0135_model0
[+] No. of intermolecular contacts: 53
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.35
[+] Percentage of charged NIS residues: 18.81
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
114,NB_FP_0119.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0119.pdb,True,0,-9.4,1.3e-07,58,1.0,4.0,10.0,4.0,17.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0119_model0
[+] No. of intermolecular contacts: 58
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 43.56
[+] Percentage of charged NIS residues: 18.74
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.3e-07
",
115,NB_FP_0033.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0033.pdb,True,0,-9.4,1.2e-07,56,0.0,5.0,5.0,3.0,19.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0033_model0
[+] No. of intermolecular contacts: 56
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 43.72
[+] Percentage of charged NIS residues: 18.60
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
116,NB_FP_0266.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0266.pdb,True,0,-9.4,1.4e-07,59,0.0,9.0,12.0,4.0,16.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0266_model0
[+] No. of intermolecular contacts: 59
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 18.66
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
117,NB_FP_0271.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0271.pdb,True,0,-9.4,1.3e-07,42,1.0,2.0,7.0,2.0,17.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0271_model0
[+] No. of intermolecular contacts: 42
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.14
[+] Percentage of charged NIS residues: 18.62
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.3e-07
",
118,NB_FP_0265.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0265.pdb,True,0,-9.3,1.6e-07,52,2.0,6.0,5.0,6.0,21.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0265_model0
[+] No. of intermolecular contacts: 52
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 44.55
[+] Percentage of charged NIS residues: 19.03
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.6e-07
",
119,NB_FP_0161.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0161.pdb,True,0,-9.3,1.6e-07,51,1.0,6.0,12.0,0.0,12.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0161_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 0.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 43.96
[+] Percentage of charged NIS residues: 18.00
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.6e-07
",
120,NB_FP_0021.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0021.pdb,True,0,-9.3,1.6e-07,55,1.0,7.0,9.0,2.0,15.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0021_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.35
[+] Percentage of charged NIS residues: 18.81
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.6e-07
",
121,NB_FP_0020.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0020.pdb,True,0,-9.3,1.4e-07,47,3.0,5.0,4.0,0.0,16.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0020_model0
[+] No. of intermolecular contacts: 47
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 4.0
[+] No. of polar-polar contacts: 0.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 43.78
[+] Percentage of charged NIS residues: 19.82
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
122,NB_FP_0183.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0183.pdb,True,0,-9.3,1.4e-07,44,1.0,7.0,3.0,3.0,19.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0183_model0
[+] No. of intermolecular contacts: 44
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 43.78
[+] Percentage of charged NIS residues: 18.43
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
123,NB_FP_0105.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0105.pdb,True,0,-9.3,1.6e-07,44,2.0,0.0,10.0,2.0,14.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0105_model0
[+] No. of intermolecular contacts: 44
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 0.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.35
[+] Percentage of charged NIS residues: 18.58
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.6e-07
",
124,NB_FP_0112.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0112.pdb,True,0,-9.3,1.5e-07,44,0.0,14.0,6.0,2.0,17.0,5.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0112_model0
[+] No. of intermolecular contacts: 44
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 14.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 5.0
[+] Percentage of apolar NIS residues: 43.65
[+] Percentage of charged NIS residues: 18.48
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.5e-07
",
125,NB_FP_0124.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0124.pdb,True,0,-9.3,1.4e-07,55,3.0,4.0,13.0,4.0,14.0,17.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0124_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 17.0
[+] Percentage of apolar NIS residues: 42.86
[+] Percentage of charged NIS residues: 18.66
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
126,NB_FP_0168.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0168.pdb,True,0,-9.3,1.4e-07,62,1.0,8.0,12.0,3.0,15.0,23.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0168_model0
[+] No. of intermolecular contacts: 62
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 23.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 19.35
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
127,NB_FP_0086.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0086.pdb,True,0,-9.3,1.6e-07,38,0.0,5.0,1.0,3.0,19.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0086_model0
[+] No. of intermolecular contacts: 38
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 1.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 42.36
[+] Percentage of charged NIS residues: 18.75
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.6e-07
",
128,NB_FP_0093.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0093.pdb,True,0,-9.3,1.5e-07,44,0.0,2.0,4.0,4.0,21.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0093_model0
[+] No. of intermolecular contacts: 44
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 4.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.57
[+] Percentage of charged NIS residues: 19.40
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.5e-07
",
129,NB_FP_0085.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0085.pdb,True,0,-9.3,1.5e-07,42,2.0,2.0,10.0,3.0,15.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0085_model0
[+] No. of intermolecular contacts: 42
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 18.89
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.5e-07
",
